Accession,replacedaccession,IDs,Country,Host,Year
KY703922.1_Nicaragua,KY703922.1_Nicaragua,KY703922.1,Nicaragua,Homo_sapiens,2015
KY703923.1_Nicaragua,KY703923.1_Nicaragua,KY703923.1,Nicaragua,Homo_sapiens,2015
KY703924.1_Nicaragua,KY703924.1_Nicaragua,KY703924.1,Nicaragua,Homo_sapiens,2015
KY703925.1_Nicaragua,KY703925.1_Nicaragua,KY703925.1,Nicaragua,Homo_sapiens,2015
KY703926.1_Nicaragua,KY703926.1_Nicaragua,KY703926.1,Nicaragua,Homo_sapiens,2015
KY703927.1_Nicaragua,KY703927.1_Nicaragua,KY703927.1,Nicaragua,Homo_sapiens,2015
KY703928.1_Nicaragua,KY703928.1_Nicaragua,KY703928.1,Nicaragua,Homo_sapiens,2015
KY703930.1_Nicaragua,KY703930.1_Nicaragua,KY703930.1,Nicaragua,Homo_sapiens,2015
KY703931.1_Nicaragua,KY703931.1_Nicaragua,KY703931.1,Nicaragua,Homo_sapiens,2015
KY703932.1_Nicaragua,KY703932.1_Nicaragua,KY703932.1,Nicaragua,Homo_sapiens,2015
KY703933.1_Nicaragua,KY703933.1_Nicaragua,KY703933.1,Nicaragua,Homo_sapiens,2015
KY703934.1_Nicaragua,KY703934.1_Nicaragua,KY703934.1,Nicaragua,Homo_sapiens,2015
KY703935.1_Nicaragua,KY703935.1_Nicaragua,KY703935.1,Nicaragua,Homo_sapiens,2015
KY703936.1_Nicaragua,KY703936.1_Nicaragua,KY703936.1,Nicaragua,Homo_sapiens,2015
KY703937.1_Nicaragua,KY703937.1_Nicaragua,KY703937.1,Nicaragua,Homo_sapiens,2015
KY703938.1_Nicaragua,KY703938.1_Nicaragua,KY703938.1,Nicaragua,Homo_sapiens,2015
KY703940.1_Nicaragua,KY703940.1_Nicaragua,KY703940.1,Nicaragua,Homo_sapiens,2014
KY703942.1_Nicaragua,KY703942.1_Nicaragua,KY703942.1,Nicaragua,Homo_sapiens,2015
